[2025-06-01 04:37:35] User: 5602865069 | Action: START_BOT | Details: 
[2025-06-01 04:43:14] User: 6847683848 | Action: START_BOT | Details: 
[2025-06-01 04:47:17] User: 7073749415 | Action: START_BOT | Details: 
[2025-06-01 05:30:08] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 05:34:17] User: 7073749415 | Action: BROADCAST_MESSAGE | Details: Success: 8, Failed: 0
[2025-06-01 05:53:43] User: 7073749415 | Action: MEMORY_CLEAR | Details: 
[2025-06-01 05:53:56] User: 7073749415 | Action: MANUAL_BACKUP | Details: backups/manual_20250601_055356
[2025-06-01 05:54:05] User: 7073749415 | Action: SYSTEM_INFO | Details: 
[2025-06-01 06:04:33] User: 7073749415 | Action: SYSTEM_INFO | Details: 
[2025-06-01 06:04:51] User: 7073749415 | Action: STATUS_CHECK | Details: 
[2025-06-01 06:05:20] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 08:14:50] User: 6546836272 | Action: START_BOT | Details: 
[2025-06-01 08:50:33] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 08:55:35] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 08:55:35] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:02:13] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:02:13] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:03:23] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:03:23] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:08:36] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:08:36] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:09:12] User: 7073749415 | Action: STATUS_CHECK | Details: 
[2025-06-01 09:09:51] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-01 09:12:11] User: 7073749415 | Action: START_BOT | Details: 
[2025-06-01 09:12:19] User: 7073749415 | Action: GRANT_PERMISSION | Details: 6548527691
[2025-06-01 09:12:56] User: 7073749415 | Action: CHECK_USER_MESSAGES | Details: 7073749415
[2025-06-01 09:13:40] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 09:32:24] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:32:24] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:41:02] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:41:02] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 09:41:34] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 10:01:22] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 10:01:22] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 10:02:22] User: 7073749415 | Action: REVOKE_PERMISSION | Details: 6548527691 (Không có tên)
[2025-06-01 10:05:35] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 10:05:35] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 10:05:50] User: 7073749415 | Action: GRANT_PERMISSION | Details: 6548527691
[2025-06-01 10:06:27] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 10:08:18] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 10:08:18] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 10:08:54] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 17:11:31] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 17:11:31] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 17:12:44] User: 7073749415 | Action: REVOKE_PERMISSION | Details: 6548527691 (Không có tên)
[2025-06-01 19:13:33] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:13:33] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:15:08] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:15:08] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:19:43] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:19:43] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:23:19] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:23:19] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:28:29] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:28:29] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:29:29] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:29:29] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:33:52] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:33:52] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:41:16] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:41:16] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:46:37] User: 5478300957 | Action: START_BOT | Details: 
[2025-06-01 19:46:52] User: 5478300957 | Action: START_BOT | Details: 
[2025-06-01 19:46:59] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:46:59] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 19:53:58] User: 7651762204 | Action: START_BOT | Details: 
[2025-06-01 19:54:31] User: 7651762204 | Action: START_BOT | Details: 
[2025-06-01 20:00:40] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:00:40] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-01 20:01:39] User: 7073749415 | Action: GRANT_TEST_PERMISSION | Details: 6548527691 - 1 messages
[2025-06-01 20:01:57] User: 6548527691 | Action: CHATAI_START | Details: 
[2025-06-01 20:02:46] User: 7961760473 | Action: START_BOT | Details: 
[2025-06-01 20:10:49] User: 6031862760 | Action: START_BOT | Details: 
[2025-06-01 20:21:16] User: SYSTEM | Action: BOT_START | Details: 
